#⃣	井 井号 井号键
$	钱
(￣^￣)	哼
*⃣	星 星号 星号键
+∞	无穷
-∞	无穷
0⃣	〇 零
1⃣	一
2⃣	二
3⃣	三
4⃣	四
5⃣	五
6⃣	六
7⃣	七
8⃣	八
9⃣	九
§	章 节 章节
©	版权
®	注册 注册 注册商标
°	度 角度
±	正负 政府
¶	段 段落
Φ	直径
ᵀᴹ	他妈 妈的 气人 文明
ᵀᴹᴰ	他妈 妈的 气人 文明
​​​📦	箱子
※	重点 要点 重要 参考
‼	叹 叹号 感叹号
⁉	叹 问 叹号 问号 感叹号
℃	度 温度
℉	度 温度
℗	版权
℞	配方 方案
℠	sm
℡	电话 tel
™	tm 商标
ℹ	信息 咨询 资讯
℻	传真 fax
↔	宽度 左右
↕	高度 上下
↖	左上
↗	右上
↘	右下
↙	左下
↩	回车 换行 左 撤消 撤销 向左
↪	右 向右 重复 重做
↲	回车 换行
⇱	左上
⇲	右下
∀	任意
∃	存在
∄	存在
∅	空 空集
∈	属于
∑	求和
√	根号 开方
∛	根号 开方
∜	根号 开方
∝	正比
∞	无穷
∟	直角 角
∠	坡比 坡度 角
∨	或 或者
∩	且 交 并且
∪	并
∫	积分
∬	积分
∭	积分
∮	积分
∯	积分
∰	积分
∴	所以
∵	因为
∼	相似 约
≅	全等
≈	约 约等
≠	不等
≤	小于
≥	大于
≪	小于
≫	大于
⊂	包含
⊥	垂直
⊿	三角 直角
⋮	省略
⋯	省略
⌚	手表 表 时间 时间 手表 腕表
⌛	时长 沙漏 等待 计时 沙漏 时间 时间 计时器
⌨	键盘
⌨️	键盘
⌬	苯 苯环
⏏	弹出
⏚	地 接地 地线
⏢	梯形
⏩	快进
⏪	倒带 倒退 快退
⏫	增 增高 增加
⏬	降 减少 减小 降低
⏭	下一首
⏮	上一首
⏯	播放
⏯️	暂停
⏰	定时 时长 闹钟 闹铃 闹钟
⏱	码表 秒表 秒表
⏲	座钟 闹钟 计时 倒计时 计时器 计时器
⏳	周期 沙漏 计时 计时 沙漏 时间 计时器 计时器
⏸	暂停
⏹	停止 正方 正方形
⏺	录像 录音
Ⓜ	地铁 轻轨
▪	方块 黑白 正方 正方形
▪️◾️◼️	变化 调整 音量 点
▫	方块 黑白 正方 正方形
▫️◽️◻️	变化 调整 音量 点
▱	四边
▶	右 播放 前进 向右 播放
◀	左 倒退 后退 回放 向左 播放
◐_◐	左看
◑_◐	斗鸡 内看
◑_◑	右看
◓_◓	白眼
◻	方块 黑白 正方 正方形
◼	方块 黑白 正方 正方形
◽	方块 黑白 正方 正方形
◾	方块 黑白 正方 正方形
☀	天气 晴 太阳 晴 热 晴空 晴朗 太阳 天晴
☁	云 多云 多云 天气 阴 阴天
☂	伞 阳伞 雨伞 太阳伞
☂️	伞 雨伞
☃	雪 雪人
☄	彗星 哈雷彗星
★	重要 星星 星号
☆	重要 星星 星号
☎	电话 电话 来电 座机 打电话 接电话
☎☏	电话
☑	多选 复选 勾选 确定 选中 复选框
☑️	勾选 确认 完成
☔	伞 雨 撑伞 打伞 下雨 雨伞 伞 雨伞
☕	咖啡
☘	三叶草
☝	食指
☝︎	注意 指出
☠	剧毒 骷髅 有毒 致命 骷髅头 骷髅
☢	危险 放射 辐射 污染 放射 辐射 氢弹 核辐射 核武器 原子弹
☣	危险 生化 感染 污染 生化 生化武器
☦	东正教
☧	凯乐
☪	回民 回族 星月 穆斯林 伊斯兰 伊斯兰教
☮	反战 和平
☯	太极 道教 太极 阴阳
